entry_time,exit_time,direction,entry,exit,pnl,signal_type,hold_minutes,snap_bi_count,snap_pivot_count,snap_k_lines_count,snap_last_pivot_zg,snap_last_pivot_zd,snap_last_pivot_end_bi,snap_bi_since_pivot,snap_price_vs_pivot,snap_bi_n1_type,snap_bi_n1_price,snap_bi_n2_type,snap_bi_n2_price,snap_bi_n3_type,snap_bi_n3_price,snap_atr,snap_atr_pct,snap_diff_15m,snap_dea_15m
2025-10-13 09:58:00,2025-10-13 14:31:00,-1,9388.0,9362.714285714286,25.285714285713766,3S,273,333,268,3024,9436.0,9414.0,331,1,below,top,9402.0,bottom,9368.0,top,9436.0,,,,
2025-10-13 22:36:00,2025-10-14 10:12:00,1,9390.0,9392.57142857143,2.571428571429351,2B,696,336,270,3056,9402.0,9372.0,335,0,inside,bottom,9372.0,top,9416.0,bottom,9310.0,,,,
2025-10-15 13:46:00,2025-10-15 21:01:00,-1,9306.0,9334.0,-28.0,2S,435,345,278,3125,9328.0,9278.0,344,0,inside,top,9328.0,bottom,9260.0,top,9376.0,,,,
2025-10-15 21:46:00,2025-10-16 10:32:00,1,9318.0,9336.714285714286,18.714285714286234,2B,766,348,281,3142,9328.0,9302.0,347,0,inside,bottom,9302.0,top,9344.0,bottom,9286.0,,,,
2025-10-16 14:21:00,2025-10-16 21:01:00,-1,9322.0,9331.0,-9.0,2S,400,351,284,3175,9330.0,9302.0,350,0,inside,top,9330.0,bottom,9282.0,top,9374.0,,,,
2025-10-17 13:46:00,2025-10-17 14:01:00,-1,9312.0,9327.0,-15.0,2S,15,355,288,3210,9326.0,9298.0,354,0,inside,top,9326.0,bottom,9294.0,top,9392.0,,,,
2025-10-17 22:31:00,2025-10-20 14:09:00,1,9362.0,9371.42857142857,9.428571428570649,3B,3818,358,290,3233,9328.0,9294.0,356,1,above,bottom,9338.0,top,9392.0,bottom,9288.0,,,,
2025-10-20 22:23:00,2025-10-21 09:01:00,-1,9286.0,9306.0,-20.0,3S,638,363,294,3278,9406.0,9388.0,361,1,below,top,9300.0,bottom,9264.0,top,9410.0,,,,
2025-10-22 10:51:00,2025-10-22 11:12:00,-1,9210.0,9225.0,-15.0,3S,21,369,298,3339,9296.0,9242.0,367,1,below,top,9224.0,bottom,9176.0,top,9296.0,,,,
2025-10-22 22:51:00,2025-10-23 09:01:00,-1,9082.0,9101.0,-19.0,3S,610,371,299,3366,9246.0,9176.0,369,1,below,top,9100.0,bottom,9080.0,top,9246.0,,,,
2025-10-23 10:36:00,2025-10-24 10:34:00,1,9116.0,9115.857142857143,-0.142857142856883,2B,1438,372,300,3378,9118.0,9088.0,371,0,inside,bottom,9088.0,top,9118.0,bottom,9080.0,,,,
2025-10-24 10:34:00,2025-10-24 11:00:00,1,9122.0,9099.0,-23.0,2B,26,377,305,3420,9134.0,9112.0,376,0,above,top,9154.0,bottom,9112.0,top,9174.0,,,,
2025-10-24 14:31:00,2025-10-24 14:40:00,1,9144.0,9133.0,-11.0,2B,9,380,308,3434,9154.0,9134.0,379,0,inside,bottom,9134.0,top,9156.0,bottom,9090.0,,,,
2025-10-24 22:21:00,2025-10-27 09:02:00,-1,9100.0,9127.0,-27.0,2S,3521,381,309,3448,9126.0,9092.0,380,0,inside,top,9126.0,bottom,9092.0,top,9156.0,,,,
2025-10-27 10:06:00,2025-10-27 11:28:00,1,9130.0,9095.0,-35.0,2B,82,384,312,3462,9126.0,9096.0,383,0,inside,bottom,9096.0,top,9140.0,bottom,9088.0,,,,
2025-10-27 22:26:00,2025-10-28 09:01:00,-1,9014.0,9033.0,-19.0,3S,635,387,314,3490,9136.0,9102.0,385,1,below,top,9032.0,bottom,8998.0,top,9136.0,,,,
2025-10-28 13:56:00,2025-10-29 09:38:00,-1,8998.0,8809.857142857143,188.14285714285688,2S,1182,391,318,3511,9018.0,9000.0,390,0,inside,top,9018.0,bottom,8964.0,top,9034.0,,,,
2025-10-29 10:06:00,2025-10-29 21:54:00,-1,8830.0,8827.714285714286,2.285714285713766,3S,708,393,319,3543,9018.0,8970.0,391,1,below,top,8860.0,bottom,8758.0,top,9018.0,,,,
2025-10-29 21:54:00,2025-10-30 10:40:00,1,8822.0,8824.714285714286,2.714285714286234,2B,766,396,322,3570,8848.0,8796.0,395,0,below,bottom,8778.0,top,8848.0,bottom,8796.0,,,,
2025-10-30 21:52:00,2025-10-30 22:28:00,1,8820.0,8811.0,-9.0,2B,36,400,326,3612,8858.0,8812.0,399,0,inside,bottom,8812.0,top,8858.0,bottom,8788.0,,,,
2025-10-31 14:26:00,2025-11-03 09:07:00,-1,8778.0,8684.714285714286,93.28571428571377,2S,4001,405,331,3643,8794.0,8792.0,404,0,inside,top,8794.0,bottom,8742.0,top,8832.0,,,,
2025-11-03 09:41:00,2025-11-03 10:32:00,-1,8712.0,8741.0,-29.0,3S,51,407,332,3661,8794.0,8742.0,405,1,below,top,8740.0,bottom,8638.0,top,8794.0,,,,
2025-11-03 10:36:00,2025-11-03 10:44:00,1,8734.0,8709.0,-25.0,2B,8,408,333,3667,8740.0,8710.0,407,0,inside,bottom,8710.0,top,8740.0,bottom,8638.0,,,,
2025-11-03 21:06:00,2025-11-03 23:00:00,-1,8614.0,8675.0,-61.0,2S,114,409,334,3686,8674.0,8640.0,408,0,inside,top,8674.0,bottom,8640.0,top,8740.0,,,,
2025-11-04 09:46:00,2025-11-04 09:51:00,1,8706.0,8687.0,-19.0,3B,5,412,336,3710,8674.0,8640.0,410,1,above,bottom,8688.0,top,8736.0,bottom,8618.0,,,,
2025-11-04 14:31:00,2025-11-04 22:18:00,-1,8632.0,8659.0,-27.0,2S,467,413,337,3730,8658.0,8618.0,412,0,inside,top,8658.0,bottom,8600.0,top,8736.0,,,,
2025-11-05 09:51:00,2025-11-05 14:25:00,1,8616.0,8591.0,-25.0,2B,274,416,340,3756,8658.0,8592.0,415,0,inside,bottom,8592.0,top,8666.0,bottom,8570.0,,,,
2025-11-05 21:46:00,2025-11-05 22:18:00,-1,8614.0,8633.0,-19.0,2S,32,421,345,3788,8632.0,8602.0,420,0,inside,top,8632.0,bottom,8562.0,top,8658.0,,,,
2025-11-06 21:16:00,2025-11-06 21:42:00,1,8728.0,8711.0,-17.0,3B,26,422,345,3824,8632.0,8602.0,420,1,above,bottom,8712.0,top,8756.0,bottom,8562.0,,,,
2025-11-07 09:56:00,2025-11-07 10:31:00,-1,8680.0,8703.0,-23.0,2S,35,423,346,3842,8702.0,8656.0,422,0,inside,top,8702.0,bottom,8656.0,top,8756.0,,,,
