entry_time,exit_time,direction,entry,exit,pnl,signal_type,entry_rsi,entry_adx,entry_bb_width,entry_bb_pos,entry_ma5,entry_ma20,entry_ma60,entry_mom_10,entry_mom_20,entry_rvol_20,entry_macd_flip_20,entry_diff_15m,entry_dea_15m,entry_ma_aligned_bull,entry_ma_aligned_bear,entry_above_ma20,entry_above_ma60,contract
2023-12-28 22:15:00,2023-12-28 22:20:00,-1,7198.0,7205.0,-7.0,2S,58.064516129032256,43.27928743842781,0.9023986574966059,0.4553962266896545,7200.0,7204.9,7227.9,0.16689847009736525,-0.33213396069747825,0.1523413524673646,1.0,-11.33695390070261,-6.902977087936504,0,1,1,0,P2405
2023-12-29 13:45:00,2024-01-02 09:00:00,-1,7112.0,7103.428571428572,8.571428571428442,2S,49.18032786885246,25.393320153641675,0.7205662534002135,0.5155993642159828,7118.0,7117.2,7161.3,0.14068655036578726,-0.08422234699606568,0.16701120904556693,3.0,-29.989816395068374,-27.872070357070807,0,0,0,0,P2405
2024-01-02 22:10:00,2024-01-03 09:00:00,-1,7048.0,7015.714285714285,32.285714285714675,2S,43.13725490196078,51.003929389470635,0.7512997465874128,0.14174094442223606,7048.4,7059.0,7072.533333333334,-0.3679592414378763,-0.6491673722833768,0.12720065098989772,0.0,-14.36066193833176,-14.011574493808691,0,1,0,0,P2405
2024-01-03 09:35:00,2024-01-03 09:45:00,-1,7000.0,7019.0,-19.0,2S,34.920634920634924,50.25846902579815,1.0541652003948747,0.251160901393904,7002.0,7014.4,7059.4,0.08583690987125081,-0.8784358175120466,0.1669145445334385,1.0,-25.470570252046855,-19.979497961168015,0,1,1,0,P2405
2024-01-03 14:30:00,2024-01-03 21:00:00,-1,6950.0,6976.0,-26.0,2S,58.33333333333333,51.02333702813662,0.57201892334575,0.4974839252268037,6954.4,6948.1,6993.566666666667,0.08643042350906516,-0.17241379310344307,0.14261425001562408,1.0,-31.623961843783036,-29.910234561596862,0,0,1,0,P2405
2024-01-04 21:35:00,2024-01-04 22:05:00,1,7004.0,6987.0,-17.0,2B,52.777777777777786,26.02148938239699,0.4669879098820276,0.6469384534208213,6998.4,6995.2,6986.433333333333,0.14306151645206988,0.34403669724769603,0.12177135652771195,2.0,2.648143245929532,-0.18510451970866715,1,0,0,1,P2405
2024-01-10 21:30:00,2024-01-11 09:00:00,1,7204.0,7212.0,8.0,3B,30.434782608695656,32.57841875402075,0.8438529757175015,0.335866958925053,7202.4,7220.0,7172.3,-0.19379844961240345,-0.055447740504577236,0.15209852208497723,1.0,33.95709792368143,35.48643761774079,0,0,0,1,P2405
2024-01-11 14:40:00,2024-01-11 14:55:00,1,7268.0,7255.0,-13.0,3B,37.93103448275862,48.30276945628611,0.8260798437826428,0.5349967256057303,7264.4,7263.9,7239.866666666667,-0.027517886626304833,0.5257332595462128,0.12024285919399519,2.0,21.477757469059725,20.077970042834185,1,0,0,1,P2405
2024-01-17 22:10:00,2024-01-17 22:15:00,-1,7276.0,7297.0,-21.0,2S,52.08333333333334,26.846533270373893,0.5053790046150496,0.28556862781934167,7283.6,7289.9,7322.866666666667,-0.10973936899862924,-0.4102844638949721,0.15768860500753154,4.0,-18.499870920556532,-13.735193955513218,0,1,1,0,P2405
2024-01-18 21:55:00,2024-01-18 22:30:00,1,7424.0,7413.0,-11.0,3B,56.60377358490566,52.593619254898684,1.1166443689987782,0.5808935840637035,7423.6,7417.3,7383.366666666667,-0.2686727565824776,0.5417118093174356,0.13873110145514161,1.0,22.300246999026967,15.905376648655759,1,0,0,1,P2405
